name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Ford Aspire 1.2 Ti-VCT,2018,350000,48000,Petrol,Individual,Second Owner,19.0 kmpl,1197 CC,96 bhp,119Nm@4250rpm,5
Honda WR-V,2019,700000,30000,Diesel,Dealer,Second Owner,24.0 kmpl,1498 CC,100 bhp,200Nm@1750rpm,5
Maruti Ertiga VXi,2017,600000,90000,Petrol,Individual,Third Owner,18.0 kmpl,1462 CC,103 bhp,138Nm@4400rpm,7
Hyundai Creta 1.6 VTVT,2018,900000,40000,Petrol,Dealer,Second Owner,16.0 kmpl,1591 CC,121 bhp,151Nm@4500rpm,5
Mahindra XUV500 W8,2016,850000,95000,Diesel,Individual,Third Owner,14.0 kmpl,2179 CC,155 bhp,350Nm@1600rpm,7
Tata Harrier XE,2020,1200000,30000,Diesel,Dealer,First Owner,15.0 kmpl,1956 CC,140 bhp,350Nm@1750rpm,5
Volkswagen Taigun 1.0 TSI,2022,950000,9000,Petrol,Dealer,First Owner,18.0 kmpl,999 CC,115 bhp,178Nm@2000rpm,5
Skoda Kushaq 1.5 TSI,2021,1200000,8000,Petrol,Dealer,First Owner,17.5 kmpl,1498 CC,150 bhp,250Nm@1500rpm,5
BMW 3 Series 320d,2018,1400000,40000,Diesel,Dealer,Second Owner,20.0 kmpl,1995 CC,190 bhp,400Nm@1750rpm,5
Audi Q7 45 TDI,2019,2200000,30000,Diesel,Dealer,First Owner,14.0 kmpl,2967 CC,231 bhp,500Nm@1000-3000rpm,7
Mercedes GLC 220d,2018,1800000,35000,Diesel,Dealer,Second Owner,15.0 kmpl,2143 CC,194 bhp,400Nm@1400rpm,5
Toyota Fortuner 2.8,2020,2600000,50000,Diesel,Dealer,First Owner,12.0 kmpl,2755 CC,201 bhp,500Nm@1600rpm,7
Honda Jazz VX,2021,700000,9000,Petrol,Dealer,First Owner,20.0 kmpl,1199 CC,89 bhp,110Nm@4300rpm,5
Maruti S-Presso,2019,350000,22000,Petrol,Dealer,First Owner,21.0 kmpl,998 CC,67 bhp,89Nm@3500rpm,5
Tata Tiago XE,2020,420000,20000,Petrol,Dealer,First Owner,23.0 kmpl,1199 CC,85 bhp,113Nm@3300rpm,5
Datsun redi-GO,2018,150000,60000,Petrol,Individual,Third Owner,20.0 kmpl,799 CC,54 bhp,74Nm@3000rpm,4
Maruti Ciaz ZDi,2017,550000,90000,Diesel,Individual,Third Owner,25.0 kmpl,1248 CC,90 bhp,200Nm@1750rpm,5
Hyundai Verna 1.6 Diesel,2018,650000,70000,Diesel,Dealer,Second Owner,24.0 kmpl,1582 CC,128 bhp,260Nm@1900rpm,5
Kia EV6,2022,3500000,8000,Electric,Dealer,First Owner,0 kmpl,0 CC,225 bhp,430Nm@0rpm,5
Tesla Model 3,2021,3000000,12000,Electric,Dealer,First Owner,0 kmpl,0 CC,283 bhp,450Nm@0rpm,5
Hyundai Ioniq Hybrid,2020,1700000,14000,Hybrid,Dealer,First Owner,27.0 kmpl,1580 CC,139 bhp,250Nm@2000rpm,5
Maruti Swift 1.2,2019,550000,30000,Petrol,Dealer,First Owner,22.0 kmpl,1197 CC,82 bhp,113Nm@4000rpm,5
Toyota Yaris,2018,630000,35000,Petrol,Individual,Second Owner,18.0 kmpl,1496 CC,106 bhp,140Nm@4200rpm,5
Honda City 1.5,2019,850000,25000,Petrol,Dealer,First Owner,18.0 kmpl,1498 CC,119 bhp,145Nm@4300rpm,5
Ford EcoSport 1.5 TiVCT,2018,700000,45000,Petrol,Individual,Second Owner,17.0 kmpl,1496 CC,121 bhp,149Nm@4250rpm,5
Renault Captur,2020,900000,18000,Petrol,Dealer,First Owner,16.0 kmpl,999 CC,100 bhp,160Nm@2000rpm,5
Nissan Magnite,2021,600000,10000,Petrol,Dealer,First Owner,20.0 kmpl,999 CC,100 bhp,160Nm@2200rpm,5
Mahindra Bolero,2015,350000,130000,Diesel,Individual,Fourth & Above Owner,14.0 kmpl,2523 CC,75 bhp,195Nm@1600rpm,7
Tata Sumo Grande,2012,220000,180000,Diesel,Individual,Fourth & Above Owner,10.0 kmpl,2956 CC,90 bhp,225Nm@2000rpm,7
Maruti Omni,2010,120000,200000,Petrol,Individual,Fourth & Above Owner,12.0 kmpl,796 CC,39 bhp,60Nm@3000rpm,8
Ambassador Classic,2008,180000,220000,Diesel,Individual,Fourth & Above Owner,8.0 kmpl,1500 CC,72 bhp,126Nm@2500rpm,5
Tata Indigo CS,2013,160000,160000,Diesel,Individual,Third Owner,18.0 kmpl,1248 CC,68 bhp,160Nm@2000rpm,5
Maruti Esteem,2007,90000,240000,Petrol,Individual,Fourth & Above Owner,13.0 kmpl,1298 CC,88 bhp,106Nm@3300rpm,5
Porsche 718 Boxster,2020,9500000,12000,Petrol,Dealer,First Owner,8.0 kmpl,1988 CC,300 bhp,380Nm@1950rpm,2
BMW M2,2019,7500000,15000,Petrol,Dealer,First Owner,9.5 kmpl,2998 CC,410 bhp,550Nm@2000rpm,4
Audi RS5,2018,7000000,20000,Petrol,Individual,Second Owner,8.0 kmpl,2995 CC,444 bhp,600Nm@2000rpm,4
Subaru BRZ,2017,2200000,35000,Petrol,Individual,Second Owner,12.0 kmpl,1998 CC,205 bhp,211Nm@6400rpm,4
Toyota Supra,2020,6800000,10000,Petrol,Dealer,First Owner,10.0 kmpl,2998 CC,335 bhp,500Nm@1600rpm,2
Chevrolet Camaro,2016,4200000,40000,Petrol,Individual,Second Owner,7.5 kmpl,6162 CC,455 bhp,617Nm@4400rpm,4
BMW M6,2015,8200000,30000,Petrol,Dealer,Second Owner,6.5 kmpl,4395 CC,560 bhp,680Nm@1500rpm,4
Ferrari F8 Tributo,2021,35000000,5000,Petrol,Dealer,First Owner,5.0 kmpl,3902 CC,710 bhp,770Nm@3250rpm,2
Lamborghini Gallardo,2013,15000000,40000,Petrol,Individual,Third Owner,6.0 kmpl,5204 CC,552 bhp,540Nm@6500rpm,2
Maserati GranTurismo,2014,4800000,50000,Petrol,Individual,Third Owner,6.8 kmpl,4691 CC,454 bhp,520Nm@4750rpm,4
McLaren 720S,2020,32000000,8000,Petrol,Dealer,First Owner,5.5 kmpl,3994 CC,710 bhp,770Nm@5500rpm,2
Aston Martin DB11,2019,14500000,15000,Petrol,Dealer,First Owner,7.0 kmpl,3998 CC,630 bhp,700Nm@1500rpm,4
Alfa Romeo Giulia Quadrifoglio,2018,4800000,18000,Petrol,Dealer,First Owner,9.0 kmpl,2891 CC,505 bhp,600Nm@2500rpm,5
Ford GT,2017,28000000,6000,Petrol,Individual,Second Owner,5.2 kmpl,3496 CC,647 bhp,745Nm@5000rpm,2
Pagani Huayra,2015,120000000,2000,Petrol,Individual,First Owner,3.5 kmpl,5980 CC,720 bhp,1000Nm@3000rpm,2
Koenigsegg Agera,2014,150000000,3000,Petrol,Individual,First Owner,4.0 kmpl,5000 CC,1,140 bhp,1370Nm@4000rpm,2
BMW M5,2019,16000000,14000,Petrol,Dealer,First Owner,8.0 kmpl,4395 CC,600 bhp,750Nm@1800rpm,5
Audi RS6 Avant,2018,14000000,20000,Petrol,Dealer,Second Owner,7.5 kmpl,3996 CC,560 bhp,700Nm@1750rpm,5
Mercedes-AMG C63 S,2019,9000000,13000,Petrol,Dealer,First Owner,8.0 kmpl,3982 CC,510 bhp,700Nm@2000rpm,5
Rolls-Royce Cullinan,2020,42000000,8000,Petrol,Dealer,First Owner,6.0 kmpl,6592 CC,563 bhp,850Nm@1600rpm,5
Bentley Bentayga,2019,36000000,10000,Petrol,Dealer,First Owner,7.0 kmpl,3996 CC,542 bhp,770Nm@1700rpm,5
Range Rover Autobiography,2018,22000000,22000,Diesel,Dealer,Second Owner,12.0 kmpl,2993 CC,339 bhp,700Nm@1250rpm,5
Mercedes-Maybach GLS,2021,45000000,5000,Petrol,Dealer,First Owner,7.5 kmpl,3980 CC,550 bhp,900Nm@1600rpm,5
BMW 8 Series,2019,14000000,9000,Petrol,Dealer,First Owner,9.0 kmpl,2998 CC,530 bhp,750Nm@2600rpm,4
Lexus LS 500h,2020,17000000,7000,Hybrid,Dealer,First Owner,18.0 kmpl,3468 CC,354 bhp,500Nm@2000rpm,5
Cadillac Escalade,2017,16000000,30000,Petrol,Dealer,Second Owner,6.5 kmpl,6162 CC,420 bhp,623Nm@4500rpm,7
Infiniti Q70,2016,4200000,40000,Petrol,Individual,Second Owner,8.5 kmpl,3700 CC,330 bhp,360Nm@1600rpm,5
Genesis G90,2020,12000000,8000,Petrol,Dealer,First Owner,9.0 kmpl,3340 CC,365 bhp,510Nm@1300rpm,5
Porsche Panamera Turbo,2019,22000000,12000,Petrol,Dealer,First Owner,7.0 kmpl,3996 CC,550 bhp,770Nm@2000rpm,5
Jaguar XJL Portfolio,2016,6800000,45000,Diesel,Dealer,Second Owner,14.0 kmpl,2993 CC,300 bhp,700Nm@2000rpm,5
Audi A6 L Premium,2018,5500000,20000,Petrol,Dealer,First Owner,12.0 kmpl,2995 CC,335 bhp,500Nm@1400rpm,5
Lincoln Continental,2015,4200000,60000,Petrol,Individual,Third Owner,9.0 kmpl,2993 CC,305 bhp,400Nm@3000rpm,5
Volvo S90 Inscription,2019,6000000,15000,Diesel,Dealer,First Owner,18.0 kmpl,1969 CC,235 bhp,480Nm@1750rpm,5
Acura RLX,2017,3200000,30000,Petrol,Individual,Second Owner,10.0 kmpl,3498 CC,310 bhp,355Nm@2000rpm,5
Chrysler 300C,2014,1800000,70000,Petrol,Individual,Third Owner,8.0 kmpl,3600 CC,300 bhp,353Nm@4000rpm,5
Maserati Levante S,2018,14000000,22000,Petrol,Dealer,Second Owner,6.5 kmpl,2979 CC,430 bhp,580Nm@4500rpm,5
Bentley Flying Spur,2017,26000000,18000,Petrol,Dealer,First Owner,7.5 kmpl,5998 CC,616 bhp,900Nm@1700rpm,5
Mercedes S560,2018,16000000,20000,Petrol,Dealer,First Owner,9.0 kmpl,3982 CC,463 bhp,700Nm@2000rpm,5
BMW 6 Series Gran Turismo,2018,9000000,25000,Petrol,Dealer,Second Owner,8.5 kmpl,2998 CC,340 bhp,450Nm@1600rpm,5
Maruti Alto 800 STD,2012,150000,80000,Petrol,Individual,Second Owner,22.0 kmpl,796 CC,47 bhp,69Nm@3500rpm,4
Datsun GO+,2016,210000,70000,Petrol,Individual,Second Owner,18.0 kmpl,1198 CC,68 bhp,104Nm@4000rpm,5
Suzuki Celerio LX,2017,260000,60000,Petrol,Dealer,Second Owner,23.0 kmpl,998 CC,67 bhp,90Nm@3500rpm,5
Renault Pulse RxE,2013,140000,110000,Diesel,Individual,Third Owner,24.0 kmpl,1461 CC,85 bhp,200Nm@1900rpm,5
Ford Figo Titanium,2014,220000,90000,Petrol,Individual,Third Owner,18.0 kmpl,1249 CC,86 bhp,120Nm@4000rpm,5
Tata Tiago MJET,2018,320000,40000,Diesel,Dealer,First Owner,23.0 kmpl,1199 CC,75 bhp,190Nm@2000rpm,5
Hyundai Santro Magna,2015,180000,95000,Petrol,Individual,Third Owner,20.0 kmpl,1086 CC,69 bhp,99Nm@3500rpm,5
Chevrolet Beat PS,2013,120000,125000,Petrol,Individual,Fourth & Above Owner,19.0 kmpl,998 CC,65 bhp,92Nm@3500rpm,5
Renault Scala 1.5,2012,160000,140000,Diesel,Individual,Fourth & Above Owner,20.0 kmpl,1461 CC,86 bhp,200Nm@1900rpm,5
Fiat Punto Active,2014,200000,100000,Petrol,Individual,Third Owner,16.0 kmpl,1248 CC,69 bhp,102Nm@3000rpm,5
Nissan Micra XE,2016,250000,80000,Petrol,Dealer,Second Owner,19.0 kmpl,1198 CC,78 bhp,104Nm@4000rpm,5
Toyota Etios GD,2015,300000,110000,Diesel,Individual,Third Owner,24.0 kmpl,1364 CC,68 bhp,170Nm@2000rpm,5
Maruti 800 STD,2008,70000,180000,Petrol,Individual,Fourth & Above Owner,15.0 kmpl,796 CC,39 bhp,60Nm@3000rpm,4
Hyundai Aura Base,2019,420000,35000,Petrol,Dealer,First Owner,20.0 kmpl,1197 CC,82 bhp,113Nm@4000rpm,5
Kia Picanto LX,2014,240000,85000,Petrol,Individual,Second Owner,18.0 kmpl,998 CC,68 bhp,93Nm@3500rpm,5
Honda Brio,2013,220000,90000,Petrol,Individual,Third Owner,20.0 kmpl,1199 CC,88 bhp,109Nm@4500rpm,5
Mitsubishi Mirage,2015,180000,110000,Petrol,Individual,Third Owner,20.0 kmpl,1193 CC,78 bhp,100Nm@3000rpm,5
Perodua Myvi,2016,200000,70000,Petrol,Individual,Second Owner,22.0 kmpl,998 CC,67 bhp,90Nm@3500rpm,5
Proton Saga,2014,130000,95000,Petrol,Individual,Third Owner,18.0 kmpl,1331 CC,95 bhp,120Nm@4300rpm,5
Chevrolet Sail U-VA,2014,110000,120000,Diesel,Individual,Fourth & Above Owner,22.0 kmpl,1248 CC,87 bhp,190Nm@2000rpm,5
Maruti WagonR LXI,2013,160000,130000,Petrol,Individual,Fourth & Above Owner,20.0 kmpl,998 CC,68 bhp,90Nm@3500rpm,5
Maruti Swift Dzire VXI,2018,420000,60000,Petrol,Dealer,Second Owner,22.0 kmpl,1197 CC,82 bhp,113Nm@4000rpm,5
Hyundai Verna 1.6 VTVT,2017,520000,70000,Petrol,Dealer,Third Owner,18.0 kmpl,1591 CC,123 bhp,151Nm@4500rpm,5
Maruti WagonR Stingray,2016,280000,55000,Petrol,Dealer,Second Owner,21.0 kmpl,998 CC,67 bhp,90Nm@3500rpm,5
Maruti Alto K10 Lxi,2018,190000,40000,Petrol,Dealer,Second Owner,21.0 kmpl,998 CC,67 bhp,90Nm@3500rpm,4
Honda City Diesel ZX,2016,480000,90000,Diesel,Individual,Third Owner,24.0 kmpl,1498 CC,100 bhp,200Nm@1750rpm,5
Maruti Celerio ZXi,2019,300000,30000,Petrol,Dealer,First Owner,23.0 kmpl,998 CC,67 bhp,90Nm@3500rpm,5
Toyota Corolla Altis Hybrid,2020,1700000,15000,Hybrid,Dealer,First Owner,22.0 kmpl,1798 CC,140 bhp,200Nm@3600rpm,5
Honda Accord Hybrid,2019,1800000,20000,Hybrid,Dealer,First Owner,20.0 kmpl,1996 CC,212 bhp,280Nm@1500rpm,5
Kia Niro HEV,2021,1200000,12000,Hybrid,Dealer,First Owner,25.0 kmpl,1580 CC,139 bhp,265Nm@1400rpm,5
Hyundai Kona Electric,2021,1600000,8000,Electric,Dealer,First Owner,0 kmpl,0 CC,201 bhp,395Nm@0rpm,5
Nissan Leaf SV,2020,1200000,15000,Electric,Dealer,First Owner,0 kmpl,0 CC,147 bhp,320Nm@0rpm,5
BMW i3,2018,950000,20000,Electric,Dealer,Second Owner,0 kmpl,0 CC,170 bhp,250Nm@0rpm,4
Renault Zoe R110,2019,800000,18000,Electric,Dealer,Second Owner,0 kmpl,0 CC,108 bhp,225Nm@0rpm,5
Chevrolet Bolt EV,2019,900000,22000,Electric,Dealer,Second Owner,0 kmpl,0 CC,200 bhp,360Nm@0rpm,5
Volkswagen ID.3 Pro,2021,1400000,10000,Electric,Dealer,First Owner,0 kmpl,0 CC,204 bhp,310Nm@0rpm,5
Peugeot e-208,2020,850000,15000,Electric,Dealer,Second Owner,0 kmpl,0 CC,136 bhp,260Nm@0rpm,5
Hyundai Ioniq 5,2022,2200000,6000,Electric,Dealer,First Owner,0 kmpl,0 CC,225 bhp,350Nm@0rpm,5
Tesla Model Y,2021,3200000,12000,Electric,Dealer,First Owner,0 kmpl,0 CC,456 bhp,600Nm@0rpm,5
Kia EV9,2023,4000000,4000,Electric,Dealer,First Owner,0 kmpl,0 CC,300 bhp,600Nm@0rpm,7
Toyota Prius Prime,2021,1500000,18000,Hybrid,Dealer,First Owner,26.0 kmpl,1798 CC,121 bhp,200Nm@3500rpm,5
Skoda Octavia iV,2021,1300000,9000,Hybrid,Dealer,First Owner,22.0 kmpl,1498 CC,150 bhp,250Nm@1500rpm,5
Honda CR-V Hybrid,2020,1400000,20000,Hybrid,Dealer,First Owner,20.0 kmpl,1997 CC,212 bhp,260Nm@2000rpm,5
Hyundai Elantra Hybrid,2019,1100000,22000,Hybrid,Dealer,Second Owner,19.0 kmpl,1998 CC,139 bhp,250Nm@2000rpm,5
Nissan Note e-Power,2020,900000,15000,Hybrid,Dealer,Second Owner,30.0 kmpl,1498 CC,116 bhp,200Nm@3500rpm,5
Ferrari Roma,2021,28000000,8000,Petrol,Dealer,First Owner,6.0 kmpl,3855 CC,612 bhp,760Nm@3000rpm,4
McLaren Artura,2022,40000000,4000,Hybrid,Dealer,First Owner,12.0 kmpl,2993 CC,671 bhp,720Nm@3000rpm,2
Porsche Taycan Turbo S,2021,35000000,6000,Electric,Dealer,First Owner,0 kmpl,0 CC,750 bhp,1050Nm@0rpm,4
Lamborghini Aventador SVJ,2019,50000000,5000,Petrol,Individual,Second Owner,4.0 kmpl,6598 CC,770 bhp,720Nm@6500rpm,2
Ferrari Portofino,2019,22000000,7000,Petrol,Dealer,First Owner,7.0 kmpl,3855 CC,591 bhp,760Nm@3000rpm,4
Ariel Atom,2016,2500000,12000,Petrol,Individual,Second Owner,10.0 kmpl,1998 CC,300 bhp,350Nm@4500rpm,2
Toyota 86,2017,900000,35000,Petrol,Individual,Second Owner,12.0 kmpl,1998 CC,200 bhp,205Nm@6400rpm,4
Nissan 370Z,2016,1400000,45000,Petrol,Individual,Third Owner,11.0 kmpl,3696 CC,332 bhp,366Nm@5200rpm,2
Audi RS3,2019,3200000,15000,Petrol,Dealer,First Owner,10.0 kmpl,2480 CC,400 bhp,480Nm@1700rpm,5
Bentley Mulsanne,2015,30000000,20000,Petrol,Dealer,Second Owner,6.5 kmpl,6750 CC,505 bhp,1020Nm@1750rpm,5
Rolls-Royce Ghost,2018,38000000,12000,Petrol,Dealer,First Owner,6.0 kmpl,6592 CC,563 bhp,900Nm@1700rpm,5
Bentley Arnage,2010,12000000,80000,Petrol,Individual,Third Owner,6.0 kmpl,6750 CC,450 bhp,875Nm@1750rpm,5
Maybach 62,2013,28000000,40000,Petrol,Individual,Second Owner,6.0 kmpl,5980 CC,530 bhp,830Nm@1600rpm,5
Cadillac CT6 V-Sport,2017,4200000,30000,Petrol,Dealer,Second Owner,9.0 kmpl,3996 CC,404 bhp,540Nm@2000rpm,5
Infiniti QX80,2019,7000000,25000,Petrol,Dealer,First Owner,7.0 kmpl,5552 CC,400 bhp,560Nm@1600rpm,7
Jaguar F-Pace SVR,2020,11000000,15000,Petrol,Dealer,First Owner,7.5 kmpl,5000 CC,542 bhp,700Nm@2000rpm,5
